# Original memory stories. Format: kanji | picture cues | scene title | story
# These are imaginative study aids, not historical etymologies or reading explanations.
# Lesson 0
一|➖|One line|Lay one chopstick on the table. One straight line means one.
二|🥢|Two lines|Stack two chopsticks, one above the other. Count the two lines: two.
三|🪜|Three steps|Climb a tiny ladder with three horizontal steps. Count them before stepping off: three.
四|🪟|Four-sided window|Look through a four-sided window. Two curtains hang inside its square frame: four.
五|✋|Five fingers|Imagine your five fingers folding into an angular knot. Unfold the knot to count five.
六|🎩 🦵|Six-legged disguise|A six-legged insect hides under a hat; only two legs stick out. Remember the hidden six.
七|➕ 🪝|Lucky seven|A cross grows a hooked foot to catch a lucky number seven before it falls.
八|🛝|Split at eight|Two slides spread apart like the hands of a clock pointing toward eight. Slide into eight.
九|⚾ 🪝|Nine-player team|A baseball player's arm hooks around the bat. Picture nine players waiting for their turn.
十|➕ ✋|Ten fingers meet|Cross both hands to show all ten fingers. The simple crossing marks ten.
百|➖ ☀️|A hundred suns|Balance a long shelf above a little sun-box. Imagine a hundred suns packed on that shelf.
千|🌾 🔢|A thousand stalks|A slanted grain stalk tops a cross. One field holds a thousand of these stalks.
万|🎫 💰|Ten-thousand ticket|Picture the long top as a ticket counter, with a dangling ticket worth ten thousand.
円|🪙 🪟|Yen in the window|A shop displays a round yen coin inside a squared window. Look inside for yen.
時|☀️ 🛕|Temple clock|The sun beside a temple tells the monks when to ring the bell. It is time.
年|📅 🌾|Yearly harvest|Hang this crooked harvest ladder on your calendar. Climb it once each year to collect grain.
# Lesson 1
日|☀️ 🪟|Sun through a window|A window frames the sun, with a bar across its middle. Another day begins.
何|🧍 🎁|The mystery parcel|A person stands beside a hanging parcel with a box inside. They ask, “What is that?”
人|🧍|Two-legged person|Two legs lean together to keep a person standing. See the person taking a step.
友|🤝|Helping hands|Imagine two reaching arms crossing as friends help each other up. A friend offers a hand.
女|👩 💃|A woman's pose|Picture a woman crossing her legs and stretching an arm across herself in a dance pose.
男|🌾 💪|Field worker|A man flexes his strength beneath a rice field. Working that field takes muscle.
子|👶 🤗|Open-armed child|A child has a rounded head, outstretched arms, and a little curled body. Pick them up.
学|🏫 👶|Child under a roof|A child sits beneath a school roof, with sparks of new ideas overhead. Time to study.
校|🌳 ✂️|School crossroads|A tree stands beside crossing paths at school. Every student meets at that school tree.
先|🏃 🏁|First to the finish|Picture a runner's legs below a signpost. They reached the destination ahead of everyone else.
生|🌱|Life pushes upward|A fresh shoot breaks through the ground and spreads leaves. New life is growing.
名|🌙 🗣️|Name in the dark|In the evening, a mouth calls out a name so a friend can find them.
前|🚶 🚶|Stand in front|Imagine two narrow people beneath a sign. Step in front of them before the queue moves.
川|🌊|Three river streams|Three long streams flow side by side. Follow their downward current along the river.
山|⛰️|Three mountain peaks|A tall middle peak rises between two shorter peaks. Trace the mountain skyline.
田|🌾|Four rice plots|A square field is divided into four neat planting plots. Fill each plot with rice.
# Lesson 2
本|🌳 📚|Book at the roots|A tree gets a little mark at its base. Imagine a book explaining the tree's origin.
月|🌙 🪜|Moon ladder|A narrow crescent holds two tiny ladder rungs. Climb to the moon once a month.
火|🔥|Dancing flames|A tall flame flicks upward while two sparks leap from its sides. Keep clear of fire.
水|💧 🌊|Splashing water|A central stream sends splashes left and right. Follow the falling water through the middle.
木|🌳|Trunk and branches|One trunk grows through crossing branches, with roots spreading below. You have drawn a tree.
金|🏠 🪙|Gold under a roof|Under a pointed roof, tiny gold nuggets sparkle on a shelf. Keep your money there.
土|🌱 🟫|Soil mound|A little plant stands on a broad ground line. Its roots are tucked into the soil.
週|🚶 📅|Weekly circuit|Walk all the way around your neighborhood. Repeat the same circuit every week.
家|🏠 🐖|Pig at home|Imagine a pig safely sleeping under your roof. This unusual house is easy to remember.
族|🚩 🏹|Tribe's flag|A tribe gathers beneath a flag with arrows ready. The flag identifies their family group.
母|👩 🍼|Mother's bundle|Picture a mother wrapping her baby in a blanket; the two dots mark her caring presence.
父|👨 🪓|Father's tools|Imagine a father lifting two crossed tools over his workbench. His arms make the crossing shape.
兄|🗣️ 🦵|Big brother speaks|A big mouth sits above two legs. Your older brother has something to tell everyone.
姉|👩 🏙️|Sister in the city|A woman beside a city sign is your older sister. She knows every shop downtown.
弟|🪜 👦|Little brother's ladder|Your younger brother wriggles down a crooked ladder, his legs dangling below the last rung.
